,2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Germany,82.689 769 ,63.445 381 , 98.812 699,"Children estimates were not available at the time of publication.",90.12 844 ,69.15 285 , 107.70 177,"Children estimates were not available at the time of publication.",93.000 814 ,71.356 737 , 111.134 202,"Children estimates were not available at the time of publication.",84.027 419 ,64.267 629 , 100.265 577,"Children estimates were not available at the time of publication.",91.22 807 ,69.774 983 , 108.857 742,"Children estimates were not available at the time of publication.",95 ,72.65 991 , 113.358 591,"Children estimates were not available at the time of publication.",85.522 912 ,65.317 368 , 102.114 396,"Children estimates were not available at the time of publication.",92.504 202 ,70.649 267 , 110.45 006,"Children estimates were not available at the time of publication.",95.03 452 ,72.581 775 , 113.471 261,"Children estimates were not available at the time of publication.",86.958 961 ,66.426 069 , 104.03 535,"Children estimates were not available at the time of publication.",92.709 677 ,70.818 917 , 110.915 352,"Children estimates were not available at the time of publication.",95.250 522 ,72.759 813 , 113.95 515,"Children estimates were not available at the time of publication.",87.606 428 ,66.868 646 , 105.163 929,"Children estimates were not available at the time of publication.",96.59 375 ,73.728 531 , 115.952 431,"Children estimates were not available at the time of publication.",96.570 689 ,73.710 929 , 115.924 748,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Ghana,43.067 525 ,37.799 454 , 50.535 162,,40.71 367 ,35.733 525 , 47.773 164,,... ,... , ...,,43.423 167 ,38.112 371 , 50.969 175,,45.867 259 ,40.257 543 , 53.837 997,,... ,... , ...,,43.811 293 ,38.516 974 , 51.546 159,,51.110 898 ,44.934 467 , 60.134 507,,... ,... , ...,,44.845 208 ,39.295 189 , 53.106 283,,55.67 326 ,48.783 167 , 65.929 004,,... ,... , ...,,47.567 898 ,41.673 795 , 56.833 929,,73.827 989 ,64.680 017 , 88.209 378,,68.298 041 ,59.835 281 , 81.602 219,,53.876 878 ,47.034 221 , 64.603 962,,90.403 359 ,78.921 639 , 108.403,,... ,... , ...,
Greece,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",83.309 504 ,76.689 379 , 89.954 705,"Children estimates were not available at the time of publication.",81.185 078 ,74.733 769 , 87.660 824,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",81.13 813 ,74.050 188 , 88.336 007,"Children estimates were not available at the time of publication.",82.685 885 ,75.462 737 , 90.021 066,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Guatemala,59.768 302 ,49.008 317 , 77.913 992,,81.900 082 ,67.155 751 , 106.764 993,,... ,... , ...,,63.464 282 ,52.102 274 , 82.107 307,,81.473 156 ,66.88 702 , 105.406 398,,85.666 308 ,70.329 473 , 110.831 315,,67.899 392 ,56.669 155 , 87.571 073,,84.547 749 ,70.563 953 , 109.04 276,,85.669 851 ,71.500 465 , 110.489 955,,72.582 613 ,60.799 408 , 94.555 393,,90.428 539 ,75.748 191 , 117.803 779,,88.692 483 ,74.293 969 , 115.54 217,,76.689 021 ,64.346 012 , 98.395 546,,92.064 754 ,77.247 038 , 118.12 332,,89.898 212 ,75.429 199 , 115.343 546,,80.682 447 ,67.929 962 , 103.969 787,,89.978 751 ,75.756 913 , 115.94 928,,88.504 089 ,74.515 333 , 114.048 987,
Guinea,37.189 316 ,34.66 298 , 40.87 848,,81.852 507 ,76.292 121 , 89.97 224,,61.959 184 ,57.750 187 , 68.105 508,,39.173 186 ,36.518 885 , 43.047 749,,78.578 523 ,73.254 191 , 86.350 611,,... ,... , ...,,43.011 144 ,40.182 863 , 47.082 116,,100 ,93.168 349 , 109.16 502,,... ,... , ...,,46.871 777 ,43.872 123 , 51.271 449,,76.78 723 ,71.873 076 , 83.994 949,,... ,... , ...,,49.475 041 ,46.351 005 , 54.073 388,,87.820 576 ,82.275 262 , 95.982 863,,... ,... , ...,,53.503 234 ,50.117 238 , 58.403 939,,86.582 919 ,81.103 448 , 94.513 605,,... ,... , ...,
Guinea-Bissau,45.492 336 ,40.354 287 , 52.598 973,,41.332 721 ,36.664 472 , 47.789 559,,... ,... , ...,,48.883 273 ,43.269 078 , 56.402 011,,49.117 674 ,43.476 558 , 56.672 466,,... ,... , ...,,51.623 161 ,45.689 887 , 59.393 994,,42.628 176 ,37.728 734 , 49.044 994,,... ,... , ...,,53.77 875 ,47.451 838 , 61.659 337,,37.529 639 ,33.114 387 , 43.029 127,,... ,... , ...,,56.618 547 ,49.906 615 , 64.573 257,,55.291 938 ,48.737 271 , 63.060 264,,... ,... , ...,,60.517 537 ,53.437 051 , 68.936 749,,66.407 873 ,58.638 224 , 75.646 549,,... ,... , ...,
Guyana,61.454 361 ,54.657 349 , 68.704 507,,79.685 561 ,70.872 131 , 89.086 553,,... ,... , ...,,77.306 548 ,68.755 278 , 86.93 152,,67.244 145 ,59.805 929 , 75.616 308,,82.536 648 ,73.40 685 , 92.812 788,,87.952 393 ,78.1 894 , 98.975 817,,63.822 149 ,56.737 689 , 71.821 233,,84.004 884 ,74.680 077 , 94.533 551,,92.823 081 ,81.978 229 , 104.48 683,,63.704 084 ,56.261 308 , 71.708 865,,88.514 412 ,78.172 957 , 99.636 752,,97.091 932 ,85.524 694 , 109.365 044,,63.550 725 ,55.979 485 , 71.58 399,,88.346 033 ,77.820 755 , 99.513 601,,100 ,88.222 622 , 113.389 577,,59.967 585 ,53.027 469 , 68.154 428,,90.854 871 ,80.340 135 , 103.258 481,
Haiti,56.476 114 ,50.723 184 , 64.351 067,,72.582 561 ,65.18 895 , 82.703 375,,... ,... , ...,,60.144 204 ,53.950 953 , 67.637 478,,82.051 641 ,73.602 507 , 92.274 329,,... ,... , ...,,63.69 861 ,57.108 496 , 71.92 233,,87.950 393 ,78.851 245 , 99.305 105,,... ,... , ...,,66.410 307 ,59.539 573 , 75.255 429,,83.743 722 ,75.079 692 , 94.897 465,,78.352 735 ,70.246 451 , 88.788 458,,69.892 638 ,62.475 329 , 79.721 549,,96.496 276 ,86.255 675 , 110.066 423,,80.021 649 ,71.529 406 , 91.27 499,,74.700 361 ,66.49 742 , 85.712 857,,100 ,89.018 873 , 114.742 226,,85.745 951 ,76.330 079 , 98.386 813,
Honduras,... ,... , ...,,... ,... , ...,,... ,... , ...,,49.896 ,43.700 913 , 57.791 543,,82.796 216 ,72.516 238 , 95.897 889,,82.995 169 ,72.690 489 , 96.128 325,,53.485 587 ,46.775 864 , 62.403 411,,84.18 931 ,73.627 831 , 98.22 646 399 999 999,,82.74 237 ,72.362 408 , 96.538 271,,55.808 783 ,48.744 604 , 65.332 572,,84.419 465 ,73.733 796 , 98.825 677,,85.239 852 ,74.45 034 , 99.786 064,,58.706 114 ,51.031 476 , 68.779 944,,83.214 622 ,72.335 993 , 97.494 054,,88.478 375 ,76.911 616 , 103.661 055,,77.249 216 ,67.011 879 , 90.51 356,,65.080 653 ,56.455 936 , 76.255 552,,57.168 566 ,49.592 387 , 66.984 893,
Hungary,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Iceland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",76.056 338 ,62.487 602 , 89.982 146,"Children estimates were not available at the time of publication.",100 ,80.63 815 , 116.118 936,"Children estimates were not available at the time of publication.",97.887 216 ,80.423 769 , 115.810 227,"Children estimates were not available at the time of publication.",78.733 032 ,64.482 709 , 93.339 613,"Children estimates were not available at the time of publication.",100 ,80.959 068 , 117.189 369,"Children estimates were not available at the time of publication.",97.390 618 ,79.763 357 , 115.458 561,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",86.49 789 ,70.43 921 , 102.92 154,"Children estimates were not available at the time of publication.",100 ,81.037 357 , 118.406 916,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
India,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",72.084 978 ,48.341 466 , 91.371 709,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",74.09 112 ,49.955 766 , 93.84 727,"Estimates were not available at the time of publication.",96.000 024 ,64.727 793 , 121.59 811,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",84.636 837 ,57.214 736 , 106.653 208,"Estimates were not available at the time of publication.",96.000 024 ,64.896 282 , 120.972 272,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",84.92 591 ,57.319 942 , 106.415 222,"Estimates were not available at the time of publication.",96.000 024 ,64.794 311 , 120.291 485,"Estimates were not available at the time of publication."
Indonesia,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,71.749 011 ,67.525 382 , 76.188 153,,38.4 402 ,36.177 352 , 40.818 512,,... ,... , ...,
Iran (Islamic Republic of),28.753 044 ,21.804 817 , 50.822 521,,33.56 302 ,25.452 453 , 59.324 408,,... ,... , ...,,29.974 795 ,22.414 988 , 54.645 936,,43.305 545 ,32.38 365 , 78.948 732,,... ,... , ...,,32.042 672 ,23.61 039 , 60.814 175,,53.461 182 ,39.39 245 , 101.464 624,,... ,... , ...,,35.49 128 ,26.019 636 , 71.269 554,,60.141 557 ,44.091 435 , 120.769 438,,79.054 498 ,57.957 033 , 158.748 256,,39.403 395 ,28.863 036 , 82.252 374,,63.053 532 ,46.186 791 , 131.620 707,,... ,... , ...,,41.798 585 ,30.923 611 , 93.131 454,,62.84 634 ,46.495 252 , 140.02 797,,... ,... , ...,
Iraq,... ,... , ...,"Estimates were not available at the time of publication.",25.496 267 ,22.309 234 , 29.745 645,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",42.052 145 ,36.881 , 48.101 409,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",50.707 796 ,44.516 728 , 57.291 948,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",31.271 988 ,27.610 877 , 35.034 796,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",35.841 476 ,31.662 429 , 39.823 862,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",23.022 378 ,20.434 695 , 25.583 384,"Estimates were not available at the time of publication.",56.666 667 ,50.297 412 , 62.970 259,"Estimates were not available at the time of publication."
Ireland,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",87.463 002 ,69.637 561 , 108.54 288,"Children estimates were not available at the time of publication.",87.986 464 ,70.054 339 , 109.192 504,"Children estimates were not available at the time of publication.",97.44 205 ,77.582 825 , 120.927 026,"Children estimates were not available at the time of publication.",89.956 158 ,70.398 133 , 112.274 894,"Children estimates were not available at the time of publication.",88.39 167 ,69.173 792 , 110.322 246,"Children estimates were not available at the time of publication.",96.800 575 ,75.754 456 , 120.817 457,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Israel,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Italy,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",88.282 882 ,71.908 098 , 103.75 237,"Children estimates were not available at the time of publication.",86.089 331 ,70.121 409 , 101.174 451,"Children estimates were not available at the time of publication.",86.92 425 ,70.801 467 , 102.15 567,"Children estimates were not available at the time of publication.",89.09 714 ,72.524 478 , 105.140 638,"Children estimates were not available at the time of publication.",90.515 461 ,73.678 982 , 106.814 352,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91.172 448 ,74.135 945 , 107.660 117,"Children estimates were not available at the time of publication.",93.766 762 ,76.245 485 , 110.723 588,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",91.192 645 ,73.82 783 , 107.339 237,"Children estimates were not available at the time of publication.",93.764 626 ,75.910 057 , 110.366 614,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Jamaica,78.745 979 ,63.405 363 , 109.40 565,,40.168 637 ,32.343 328 , 55.808 257,,62.577 347 ,50.386 565 , 86.941 776,,80.962 018 ,64.980 444 , 111.548 762,,41.921 507 ,33.646 372 , 57.759 086,,63.974 719 ,51.346 369 , 88.143 809,,82.92 277 ,66.310 612 , 113.811 778,,42.633 481 ,34.092 593 , 58.514 595,,68.022 872 ,54.395 654 , 93.361 618,,83.305 872 ,66.642 501 , 114.326 644,,44.414 557 ,35.530 475 , 60.953 293,,72.540 411 ,58.030 416 , 99.552 427,,85.558 743 ,68.433 607 , 117.404 803,,47.45 866 ,37.959 502 , 65.123 381,,79.416 876 ,63.521 074 , 108.976 854,,87.437 024 ,70.059 184 , 120.182 139,,42.646 081 ,34.170 303 , 58.617 014,,83.51 363 ,66.915 552 , 114.789 436,
Japan,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Jordan,37.967 811 ,34.13 844 , 41.715 707,,84.214 096 ,75.7 204 , 92.527 075,,80 ,71.93 133 , 87.896 996,,38.793 587 ,34.906 454 , 42.68 072,,93.501 395 ,84.132 518 , 102.870 272,,79.411 765 ,71.454 674 , 87.368 856,,39.7 603 ,35.739 596 , 43.855 462,,95.139 412 ,85.518 573 , 104.938 415,,95 ,85.393 258 , 104.784 644,,40.792 619 ,36.634 496 , 45.094 125,,100 ,91.311 775 , 112.397 469,,92.1 875 ,82.790 532 , 101.908 502,,42.246 689 ,37.910 108 , 46.723 159,,100 ,92.840 327 , 114.423 133,,92.258 065 ,82.787 866 , 102.033 754,,43.312 989 ,38.636 , 47.786 631,,100 ,91.209 783 , 112.8 121,,... ,... , ...,
Kazakhstan,70.949 178 ,46.668 159 , 92.445 948,,33.049 936 ,21.739 218 , 43.063 679,,59.381 305 ,39.059 172 , 77.373 145,,69.302 092 ,45.522 643 , 90.038 014,,38.455 975 ,25.260 675 , 49.962 411,,59.760 541 ,39.25 506 , 77.64 153,,68.40 678 ,44.630 593 , 88.383 879,,49.388 834 ,32.222 726 , 63.812 048,,62.934 658 ,41.06 042 , 81.313 712,,70.180 785 ,45.403 633 , 90.520 888,,59.947 008 ,38.782 865 , 77.321 112,,65.73 225 ,42.525 642 , 84.783 059,,71.666 119 ,46.182 887 , 92.594 686,,63.983 745 ,41.232 232 , 82.668 838,,80.354 408 ,51.781 771 , 103.820 205,,69.929 712 ,44.883 108 , 90.835 643,,69.980 507 ,44.91 571 , 90.901 623,,82.744 169 ,53.107 834 , 107.481 063,
Kenya,85.674 459 ,75.356 215 , 100.59 541,,64.053 807 ,56.339 457 , 75.209 333,,... ,... , ...,,88.367 804 ,77.724 901 , 103.757 443,,68.638 687 ,60.371 933 , 80.592 414,,... ,... , ...,,89.879 114 ,79.054 042 , 105.531 756,,74.571 909 ,65.590 442 , 87.558 769,,... ,... , ...,,90.620 998 ,79.706 745 , 106.403 071,,73.556 598 ,64.697 555 , 86.366 825,,... ,... , ...,,91.091 377 ,80.120 296 , 106.955 133,,78.585 489 ,69.120 622 , 92.271 318,,93.569 748 ,82.300 171 , 109.865 118,,91.945 362 ,80.871 716 , 107.958 228,,83.599 877 ,73.531 338 , 98.159 324,,94.126 076 ,82.789 791 , 110.518 727,
Kuwait,... ,... , ...,"Estimates were not available at the time of publication.",75.634 792 ,66.996 835 , 84.483 431,"Estimates were not available at the time of publication.",95.876 289 ,84.926 629 , 107.093 014,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",83.377 309 ,73.405 977 , 93.985 109,"Estimates were not available at the time of publication.",96.153 846 ,84.654 531 , 108.38 716,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",84.144 266 ,74.094 248 , 96.164 875,"Estimates were not available at the time of publication.",96.511 628 ,84.984 478 , 110.299 003,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",86.762 154 ,75.331 287 , 100.066 934,"Estimates were not available at the time of publication.",95.986 622 ,83.340 436 , 110.705 953,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",91.33 654 ,78.706 838 , 106.345 751,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",96.738 805 ,81.730 729 , 114.097 544,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Kyrgyzstan,58.280 776 ,54.074 105 , 62.664 427,,36.272 545 ,33.654 415 , 39.000 823,,58.02 651 ,53.838 191 , 62.391 036,,58.495 041 ,53.916 839 , 63.022 794,,43.899 742 ,40.463 863 , 47.29 776,,58.90 028 ,54.290 362 , 63.4 594,,59.708 058 ,54.765 219 , 64.340 477,,49.229 739 ,45.154 332 , 53.049 203,,64.246 682 ,58.92 812 , 69.231 228,,61.796 496 ,56.45 293 , 66.748 507,,53.829 916 ,49.175 223 , 58.143 532,,66.46 849 ,60.720 935 , 71.794 888,,63.818 657 ,58.176 798 , 68.993 143,,53.251 366 ,48.543 704 , 57.569 044,,78.97 818 ,71.996 151 , 85.381 816,,64.840 033 ,58.829 431 , 70.063 406,,56.199 393 ,50.989 769 , 60.726 694,,88.413 215 ,80.217 404 , 95.535 592,
Lao People's Democratic Republic,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,92.232 115 ,84.312 343 , 101.334 784,,... ,... , ...,,... ,... , ...,,96.055 944 ,88.02 678 , 105.543 928,
Latvia,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Lebanon,84.932 249 ,75.863 602 , 94.92 157,,53.733 248 ,47.995 877 , 60.053 093,,... ,... , ...,,83.771 486 ,74.369 428 , 94.189 982,,60.10 863 ,53.362 363 , 67.584 223,,... ,... , ...,,87.482 083 ,77.49 249 , 99.185 372,,64.718 733 ,57.328 491 , 73.376 757,,88.185 654 ,78.11 572 , 99.983 066,,90.123 457 ,79.656 444 , 102.774 532,,68.696 093 ,60.717 672 , 78.339 303,,91.506 647 ,80.878 989 , 104.351 887,,95.579 134 ,84.12 823 , 109.269 514,,71.924 144 ,63.307 237 , 82.226 276,,91.318 328 ,80.377 892 , 104.398 407,,100 ,86.937 647 , 114.247 454,,73.020 017 ,64.006 756 , 84.113 261,,91.299 166 ,80.02 961 , 105.169 389,
Lesotho,81.837 288 ,75.59 828 , 96.18 059,,57.779 266 ,53.374 363 , 67.906 012,,... ,... , ...,,87.524 394 ,80.958 264 , 102.261 988,,64.851 923 ,59.986 695 , 75.771 865,,... ,... , ...,,91.059 159 ,84.274 213 , 105.925 808,,67.705 283 ,62.660 467 , 78.759 093,,... ,... , ...,,92.37 842 ,85.284 217 , 106.922 811,,72.057 081 ,66.523 456 , 83.402 007,,91.149 584 ,84.149 749 , 105.500 503,,93.508 698 ,86.553 886 , 107.761 373,,76.557 501 ,70.863 453 , 88.22 646,,94.06 922 ,87.072 719 , 108.40 733,,93.830 212 ,86.985 779 , 107.746 666,,79.2 583 ,73.476 814 , 91.013 517,,97.302 517 ,90.204 797 , 111.733 967,
Liberia,40.936 082 ,34.853 088 , 48.380 667,,40.026 175 ,34.078 391 , 47.305 286,,... ,... , ...,,42.491 781 ,36.08 891 , 50.560 045,,34.297 975 ,29.129 787 , 40.810 414,,... ,... , ...,,44.566 038 ,37.609 761 , 53.117 186,,39.292 937 ,33.159 734 , 46.832 304,,... ,... , ...,,47.66 656 ,39.520 718 , 57.047 663,,56.941 742 ,47.210 844 , 68.148 264,,52.305 476 ,43.36 688 , 62.59 955,,51.174 155 ,42.240 979 , 61.837 008,,58.532 186 ,48.314 562 , 70.728 188,,60.195 759 ,49.687 734 , 72.73 839,,54.9 604 ,45.017 585 , 66.983 417,,67.607 129 ,55.37 641 , 82.396 717,,73.887 043 ,60.520 233 , 90.050 411,
Libya,87.349 076 ,79.457 168 , 94.72 532,,61.384 847 ,55.838 783 , 66.568 526,,... ,... , ...,,94.672 942 ,86.332 028 , 103.132 673,,59.998 356 ,54.712 356 , 65.359 655,,53.788 317 ,49.049 437 , 58.594 703,,95.301 587 ,87.156 152 , 104.447 747,,61.292 472 ,56.053 799 , 67.174 753,,... ,... , ...,,95.186 124 ,86.68 857 , 105.238 933,,67.766 083 ,61.7 164 , 74.923 003,,77.285 852 ,70.38 631 , 85.448 175,,94.990 144 ,86.499 162 , 105.941 334,,47.99 224 ,43.702 308 , 53.525 152,,69.84 127 ,63.598 296 , 77.893 106,,94.703 597 ,86.217 687 , 106.491 906,,43.835 731 ,39.907 833 , 49.29 222,,77.610 442 ,70.656 163 , 87.271 066,
